ID,Course ID,Section ,Semester,Sum of Quizzes and Every other Marks,Pass or Fail,,"CO, PO Achievement Analysis",,,,,,,,,,,
,,,,,,,CO in Percentage (%),,,,CO Achievement  (>=),,40,,PO Achievement,,,
,,,,,,,CO1,CO2,CO3,CO4,CO1,CO2,CO3,CO4,PO2,PO3,PO4,PO6
,,,,,Threshold,40,,,,,,,,,,,,
1416455,CSE303,1,Summer,67,P,,33.33333333,74.28571429,56,80,N,Y,Y,Y,N,Y,Y,Y
1579288,CSE303,1,Summer,57,P,,27.27272727,37.14285714,46,76.66666667,N,N,Y,Y,N,N,Y,Y
1528882,CSE303,3,Summer,40,P,,21.21212121,22.85714286,26,20,N,N,N,N,N,N,N,N
1653725,CSE303,3,Summer,8,F,,0,0,0,0,N,N,N,N,N,N,N,N
1625654,CSE303,1,Summer,55,P,,35.15151515,28.57142857,8,80,N,N,N,Y,N,N,N,Y
1669953,CSE303,3,Summer,9,F,,3.03030303,0,0,0,N,N,N,N,N,N,N,N
1665555,CSE303,1,Summer,60,P,,31.51515152,54.28571429,8,90,N,Y,N,Y,N,Y,N,Y
1616161,CSE303,3,Summer,42,P,,51.51515152,54.28571429,30,0,Y,Y,N,N,Y,Y,N,N
1633554,CSE303,2,Summer,14,F,,9.090909091,42.85714286,0,0,N,Y,N,N,N,Y,N,N
1645333,CSE303,2,Summer,70,P,,57.57575758,77.14285714,36,76.66666667,Y,Y,N,Y,Y,Y,N,Y
1691291,CSE303,2,Summer,66,P,,33.93939394,28.57142857,34,100,N,N,N,Y,N,N,N,Y
1662147,CSE303,3,Summer,40,P,,18.78787879,37.14285714,8,30,N,N,N,N,N,N,N,N
1691483,CSE303,3,Summer,40,P,,20.60606061,77.14285714,8,20,N,Y,N,N,N,Y,N,N
1674181,CSE303,3,Summer,41,P,,32.72727273,37.14285714,12,36.66666667,N,N,N,N,N,N,N,N
1641252,CSE303,2,Summer,92,P,,84.24242424,71.42857143,44,113.3333333,Y,Y,Y,Y,Y,Y,Y,Y
1695837,CSE303,2,Summer,65,P,,44.84848485,25.71428571,50,80,Y,N,Y,Y,Y,N,Y,Y
1613273,CSE303,1,Summer,40,P,,15.75757576,80,8,40,N,Y,N,Y,N,Y,N,Y
1612985,CSE303,3,Summer,50,P,,27.27272727,74.28571429,42,40,N,Y,Y,Y,N,Y,Y,Y
1623112,CSE303,1,Summer,50,P,,32.72727273,80,24,40,N,Y,N,Y,N,Y,N,Y
1668314,CSE303,2,Summer,45,P,,13.33333333,31.42857143,54,36.66666667,N,N,Y,N,N,N,Y,N
1622731,CSE303,3,Summer,8,F,,0,0,0,0,N,N,N,N,N,N,N,N
1696326,CSE303,1,Summer,52,P,,24.84848485,82.85714286,52,40,N,Y,Y,Y,N,Y,Y,Y
1646434,CSE303,1,Summer,44.8,P,,13.33333333,31.42857143,52,40,N,N,Y,Y,N,N,Y,Y
1614142,CSE303,1,Summer,55,P,,30.90909091,74.28571429,52,40,N,Y,Y,Y,N,Y,Y,Y
1654432,CSE303,1,Summer,70,P,,54.54545455,51.42857143,52,83.33333333,Y,Y,Y,Y,Y,Y,Y,Y
1678812,CSE303,3,Summer,60,P,,16.36363636,82.85714286,38,76.66666667,N,Y,N,Y,N,Y,N,Y
1614733,CSE303,3,Summer,40,P,,14.54545455,37.14285714,18,33.33333333,N,N,N,N,N,N,N,N
1665491,CSE303,2,Summer,60,P,,42.42424242,74.28571429,12,76.66666667,Y,Y,N,Y,Y,Y,N,Y
1634352,CSE303,3,Summer,50,P,,47.87878788,37.14285714,26,40,Y,N,N,Y,Y,N,N,Y
1661638,CSE303,1,Summer,56,P,,41.81818182,28.57142857,26,66.66666667,Y,N,N,Y,Y,N,N,Y
1686272,CSE303,1,Summer,46,P,,13.33333333,68.57142857,52,40,N,Y,Y,Y,N,Y,Y,Y
1729416,CSE303,3,Summer,60,P,,47.27272727,100,10,63.33333333,Y,Y,N,Y,Y,Y,N,Y
1763881,CSE303,2,Summer,17,F,,25.45454545,0,0,0,N,N,N,N,N,N,N,N
1781682,CSE303,3,Summer,45,P,,25.45454545,60,36,36.66666667,N,Y,N,N,N,Y,N,N
1778274,CSE303,1,Summer,65,P,,27.87878788,65.71428571,44,90,N,Y,Y,Y,N,Y,Y,Y
1795656,CSE303,1,Summer,65,P,,36.96969697,82.85714286,38,83.33333333,N,Y,N,Y,N,Y,N,Y
1773277,CSE303,2,Summer,66,P,,40,88.57142857,36,76.66666667,Y,Y,N,Y,Y,Y,N,Y
1759787,CSE303,2,Summer,18,F,,29.09090909,0,0,0,N,N,N,N,N,N,N,N
1743714,CSE303,2,Summer,42,P,,29.6969697,31.42857143,24,36.66666667,N,N,N,N,N,N,N,N
1747457,CSE303,1,Summer,60,P,,23.03030303,34.28571429,38,90,N,N,N,Y,N,N,N,Y
1728125,CSE303,2,Summer,52,P,,45.45454545,68.57142857,40,36.66666667,Y,Y,Y,N,Y,Y,Y,N
