ID,Course ID,Section ,Semester,Midterm,,,,,,Midterm Total,Midterm Total Converted,Final ,,,,Final Total,Final Total Converted,Project Work,Project Work Total,Total,,CO Total,,,
,,,,CO1,CO1,CO1,CO2,CO1,CO1,150,30,CO1,CO1,CO2,CO3,100,40,CO4,30,100,,CO1,CO2,CO3,CO4
,,,,Q1,Q2,Q3,Q4,Q5,Q6,,,Q1,Q2,Q3,Q4,,,Lab,,,,165,35,50,30
,,,,25,25,30,20,30,20,,,20,15,15,50,,,30,,,,,,,
1416455,CSE303,1,Summer,15,0,5,15,2,7,44,8.8,13,13,11,28,65,26,24,24,67,8.2,55,26,28,24
1579288,CSE303,1,Summer,0,0,18,0,5,12,35,7,,10,13,23,46,18.4,23,23,57,8.6,45,13,23,23
1528882,CSE303,3,Summer,15,7,0,0,0,4,26,5.2,2,7,8,13,30,12,6,6,40,16.8,35,8,13,6
1653725,CSE303,3,Summer,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,8,8,0,0,0,0
1625654,CSE303,1,Summer,5,15,20,0,0,0,40,8,8,10,10,4,32,12.8,24,24,55,10.2,58,10,4,24
1669953,CSE303,3,Summer,0,0,5,0,0,0,5,1,,,,0,0,0,0,0,9,8,5,0,0,0
1665555,CSE303,1,Summer,10,0,15,6,2,0,33,6.6,13,12,13,4,42,16.8,27,27,60,9.6,52,19,4,27
1616161,CSE303,3,Summer,0,0,18,11,20,20,69,13.8,14,13,8,15,50,20,0,0,42,8.2,85,19,15,0
1633554,CSE303,2,Summer,0,10,5,15,0,0,30,6,,,,0,0,0,0,0,14,8,15,15,0,0
1645333,CSE303,2,Summer,22,0,23,16,15,13,89,17.8,10,12,11,18,51,20.4,23,23,70,8.8,95,27,18,23
1691291,CSE303,2,Summer,6,10,0,0,2,11,29,5.8,17,10,10,17,54,21.6,30,30,66,8.6,56,10,17,30
1662147,CSE303,3,Summer,15,0,0,5,0,5,25,5,9,2,8,4,23,9.2,9,9,40,16.8,31,13,4,9
1691483,CSE303,3,Summer,0,0,20,15,0,0,35,7,2,12,12,4,30,12,6,6,40,15,34,27,4,6
1674181,CSE303,3,Summer,20,0,5,5,0,8,38,7.6,9,12,8,6,35,14,11,11,41,8.4,54,13,6,11
1641252,CSE303,2,Summer,22,22,24,14,25,17,124,24.8,15,14,11,22,62,24.8,34,34,92,8.4,139,25,22,34
1695837,CSE303,2,Summer,19,0,24,0,5,7,55,11,14,5,9,25,53,21.2,24,24,65,8.8,74,9,25,24
1613273,CSE303,1,Summer,0,0,0,16,0,4,20,4,9,13,12,4,38,15.2,12,12,40,8.8,26,28,4,12
1612985,CSE303,3,Summer,0,0,22,12,0,8,42,8.4,15,,14,21,50,20,12,12,50,9.6,45,26,21,12
1623112,CSE303,1,Summer,0,0,15,16,10,8,49,9.8,9,12,12,12,45,18,12,12,50,10.2,54,28,12,12
1668314,CSE303,2,Summer,0,0,0,0,0,0,0,0,17,5,11,27,60,24,11,11,45,10,22,11,27,11
1622731,CSE303,3,Summer,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,8,8,0,0,0,0
1696326,CSE303,1,Summer,0,0,10,16,1,9,36,7.2,9,12,13,26,60,24,12,12,52,8.8,41,29,26,12
1646434,CSE303,1,Summer,0,0,0,0,0,0,0,0,9,13,11,26,59,23.6,12,12,44.8,9.2,22,11,26,12
1614142,CSE303,1,Summer,0,0,10,16,9,10,45,9,9,13,10,26,58,23.2,12,12,55,10.8,51,26,26,12
1654432,CSE303,1,Summer,18,0,20,18,17,14,87,17.4,9,12,0,26,47,18.8,25,25,70,8.8,90,18,26,25
1678812,CSE303,3,Summer,0,0,0,16,1,0,17,3.4,13,13,13,19,58,23.2,23,23,60,10.4,27,29,19,23
1614733,CSE303,3,Summer,0,0,0,0,0,0,0,0,14,10,13,9,46,18.4,10,10,40,11.6,24,13,9,10
1665491,CSE303,2,Summer,18,0,20,16,0,5,59,11.8,14,13,10,6,43,17.2,23,23,60,8,70,26,6,23
1634352,CSE303,3,Summer,10,10,15,6,6,13,60,12,15,10,7,13,45,18,12,12,50,8,79,13,13,12
1661638,CSE303,1,Summer,15,5,10,0,0,15,45,9,14,10,10,13,47,18.8,20,20,56,8.2,69,10,13,20
1686272,CSE303,1,Summer,0,0,0,14,0,0,14,2.8,9,13,10,26,58,23.2,12,12,46,8,22,24,26,12
1729416,CSE303,3,Summer,0,20,18,20,0,13,71,14.2,14,13,15,5,47,18.8,19,19,60,8,78,35,5,19
1763881,CSE303,2,Summer,0,0,27,0,0,15,42,8.4,,,,0,0,0,0,0,17,8.6,42,0,0,0
1781682,CSE303,3,Summer,12,7,0,13,0,7,39,7.8,9,7,8,18,42,16.8,11,11,45,9.4,42,21,18,11
